author,video_id
1269109,1
102809,1
728866,1
643685,3
71366,15
173763,8
942464,16
940751,1
66198,5
940017,131
513491,1
515600,1
1099751,1
1104145,1
646703,5
1111647,17
45258,3
1280075,43
484053,3
1043085,54
742597,2
847973,2
281872,2
1259538,3
804272,3
276792,6
569708,2
1260269,7
433019,2
666858,14
1212732,12
2707,1
852827,3
871049,1
1231128,1
698026,1
681098,1
85378,363
350830,2
1126710,1
569403,3
50054,44
314158,43
413752,11
273052,28
879609,5
591056,2
425076,1
1054562,166
1201885,14
1129942,24
651583,2
81742,2
730912,2
1100110,11
779325,1
461167,2
229300,18
1185092,7
447575,1
484968,1
57792,4
887822,13
64902,9
1003787,8
24541,1
1034492,1
11629,1
128557,1
842176,1
289006,32
1191185,1
87382,8
88629,1
1162715,1
313874,2
1172628,1
1033168,43
571676,3
1151738,2
1104081,1
739539,4
596247,1
252964,1
397083,1
446304,1
399380,1
1076696,1
344742,2
470388,1
577658,2
754285,4
1260804,3
66617,1
1147824,3
741377,1
617897,4
707781,20
750947,2
465271,3
43039,1
277037,5
162557,1
591531,20
628830,1
81431,1
1240973,2
1002186,2
894208,4
722229,1
359826,7
1126408,1
734883,3
559441,1
329155,1
678544,2
424460,60
1121721,82
89108,1
872459,1
353931,36
1212570,4
754774,1
1143014,1
486988,72
148892,1
665091,2
341854,20
868233,3
514851,8
726820,4
128778,1
900959,34
133354,1
221475,1
425611,2
333064,11
1206585,2
779305,1
1273094,2
1066849,1
1125275,1
329935,50
317133,12
52718,113
404374,9
26452,1
674877,1
749222,9
1133627,8
1252349,3
543010,75
865598,1
1062710,25
943044,1
1076429,1
732971,3
8164,3
1280619,4
914340,11
1233285,26
70947,6
27415,1
552618,25
1276121,1
158978,3
555403,15
352949,1
148112,1
554268,1
119149,1
578304,62
447956,5
442537,10
621442,4
654069,48
618313,15
567149,2
683477,5
715255,9
1251392,4
496602,34
33281,55
604148,4
1197975,1
627662,1
257900,3
892072,1
1246291,33
1032091,3
126853,5
389498,16
983769,2
935485,1
667163,114
691881,10
567968,1
540817,52
238348,2
79894,602
34460,4
229096,37
341513,27
255126,2
479595,6
1075240,3
206524,2
92578,5
1032351,1
58958,1
770970,71
452644,1
589655,12
999281,2
1082373,1
627971,201
463364,1
493816,15
250233,1
239338,13
956117,10
987540,1
507373,1
736952,6
1194048,1
1096212,3
946363,2
929233,1
637825,1
242976,2
1066233,43
531808,1
994671,7
256497,4
684006,1
1183644,7
1201964,4
661263,52
1210407,40
204472,1
1279524,1
780620,36
728989,52
1188621,1
155228,1
126266,1
951416,1
1022605,4
820362,5
1105101,4
39127,4
800222,17
36070,1
1152027,32
679317,16
117258,2
828208,3
464475,442
907233,11
944690,3
20580,1
1120780,4
444689,1
767369,19
394380,303
1169730,3
1221303,3
975569,9
594313,21
851114,8
894690,6
182538,2
777331,1
750889,32
184283,14
585555,2
157396,1
920072,4
840034,2
460963,1
1252193,26
413542,1
694657,1
966486,8
235917,1
963567,15
730333,8
153879,2
1107699,18
1003138,9
323798,1
507370,1
697892,2
833899,40
383009,3
367128,1
1235808,1
555475,3
395535,8
479570,5
833274,3
64029,2
424792,1
745977,43
191014,1
894721,1
628479,4
1240454,2
453519,77
275355,11
55854,1
980164,1
618058,2
161054,274
842547,3
672013,29
895189,1
145888,1
758590,9
895207,58
761161,1
437793,7
237460,1
929862,1
897299,56
1219351,1
626336,4
419108,4
1000942,1
849555,2
879826,10
17292,1
1279578,16
333324,1
948436,2
909896,18
630759,1
599361,1
1214740,1
924891,1
172691,1
186738,31
677797,1
838632,10
1018881,1
1241633,1
391545,1
1159602,1
774785,4
1046317,3
935890,4
809940,16
1014982,15
979534,2
774101,2
1104019,3
495264,43
610137,2
706970,3
737220,9
422847,153
826084,5
741192,2
743359,2
1102156,8
366140,39
18098,2
644042,2
23342,1
375658,1
5065,6
18180,4
1050352,2
1040268,1
517755,1
807177,5
493687,1
319901,6
86611,11
436558,2
1096904,2
221080,5
425025,2
403108,1
104258,1
106397,3
179688,2
629141,2
650958,222
460936,8
1001960,25
814574,2
235849,4
42907,1
728821,2
1053759,23
839351,1
234414,4
67550,75
778678,20
649747,1
164591,8
109131,22
75775,1
656258,1104
279135,2
965385,3
1019949,1
954009,1
543806,6
524183,50
194342,1
433495,28
658686,1
352019,1
223120,5
980900,67
609786,5
124041,1466
586045,12
703952,4
178536,7
255145,7
498054,4
1207880,30
300754,43
1009830,6
326735,1
1003118,2
466722,7
175038,1
66487,5
11275,4
1073962,1
991966,2
1001319,1
1111183,1
111113,1
330698,1
167673,1
1218081,4
234464,1
118785,1
1248385,17
505652,1
136076,7
634824,20
369596,1
1183394,1
149913,1
1188124,1
392423,5
73902,3
600628,1
967016,1
1284985,1
437906,36
48985,7
875945,58
753094,1
1180345,3
1036287,7
921382,1
834215,3
584691,1
214020,1
830880,2
434085,2
39195,1
82790,1
521208,35
179353,2
652138,5
170784,241
1204234,2
659735,7
953975,2
926671,84
965583,1
214539,1
30077,5
655519,2
326275,735
1161502,1
214204,1
204049,6
508677,32
12878,1
1099424,1
809851,1
978436,95
139166,18
448554,11
1269829,4
1034557,113
427173,1
808810,1
727885,1
742817,2
2221,2
641552,4
56463,7
949329,1
669863,2
1165362,1
1270363,2
862806,34
1240018,69
1180025,1
476566,9
357026,1
996337,4
172061,16
4793,1
138657,2
1034663,4
423038,1
1200743,85
656334,3
1220464,3
262400,22
238894,1
1211917,5
1147384,1
417594,1
