author,video_id,likes,replies
6746,dl5I9i-jskM,1,0
31128,FFJgmbhmVz0,0,0
23952,AbqT_ubkT0Y,2,0
23667,PeTzB903Jo4,0,0
33425,XqEcwrLmewY,0,0
34927,LXO-jKksQkM,0,0
33294,YrizFz-bgX0,0,0
30628,VkVWjbgbCEU,0,0
36635,T8wsPG1Skrg,0,0
38564,wlZq5jEiOnE,0,0
63450,S1Gf_pLJXn0,0,0
26598,ElEA7MwT66E,0,0
2012,7y2s3qLPaqs,0,0
32511,jygHLvlKtrs,4,1
60432,VDQX0yDRPzs,0,0
33880,5iamR7An-OE,1,0
13319,6KUaMddjJy4,0,0
47626,n1T5X3G-9AE,0,0
63139,IS6fWkZkrFc,1,0
54744,EnYkqjhyRwM,1,0
7281,Cd3zLqm3zuk,0,0
20055,Gwh-E1JRs-o,38,1
51956,LTQfUQI0j14,0,0
49785,jhyfE85eWQQ,0,0
35782,ZO-IbPzj3_8,0,0
37149,bQybpFkYcck,0,0
30690,3hcQKZ774QQ,3,0
28956,Rac-E3rLsIw,0,0
12711,G0zVLP7ADfU,0,0
4510,ZChzCTy6tAo,0,0
2097,YpMI7u95q2c,0,0
12322,koZVdGkMjdk,0,0
17057,_avMW0a4Fi0,0,0
13217,JpxYtUCxA5A,5,0
25455,tGtgGd4W5Bw,4,4
56718,38tlLq9rjnI,0,0
10935,rMKTJ6BJcXo,2,0
5197,OTEgdu_ub9Y,0,0
54744,klD2_7BikP8,0,0
3262,3419UAoMZno,0,0
41055,XPQpTGwn6iY,0,0
24150,0gpam5ZqpN8,0,0
31736,RXD5Y8b8eX8,0,0
52771,0q69Msy8ttM,0,0
57002,g7gLTDllmQQ,1,0
33886,e-cvipwCcm8,0,0
24876,pGsW0kDX-dg,0,0
26450,hdLOfqCnLjI,0,0
13163,dA0HcRkEyF4,0,0
12759,NxQsoztRsCk,0,0
50667,yU-1rN-4wQU,0,0
52122,UQVs0SqO3ws,0,0
27238,NMNgbISmF4I,0,0
39514,RhliEMvhmqQ,1,0
60327,spXGRv3vGhg,0,0
57763,ka4F80dOFqM,0,0
50230,Tt-05rtZfVA,0,0
49601,oVsEssvLKkc,0,1
34152,xbbQjWBp3tU,0,0
12904,50Lo6Lb8ubA,0,0
56181,RvGCZBA8vR8,0,0
28294,jsRYBkADbuE,0,0
52509,yFu-VfRJrHU,1,0
