display_id,num_comms
b3vRJpQHP_Y,11.0
CCKIqVPv5MM,0.0
7c0tiiBY494,590.0
lXkDItZZkJU,267.0
spVLA-PwEbE,0.0
J-5U2wxNxaA,1.0
nY6xHDXMMzU,1.0
QgzH-08UghQ,34.0
id8eyT5kLCs,9.0
QzuIu7Cmnjc,1.0
epYx8bX_yi0,9.0
mp99Z1Y48Zs,1051.0
7S7994L2u9s,3.0
q2RVt1Ki1Gg,0.0
yyazO9_njqI,71.0
Y6AmEq7tp6s,255.0
-Tn1ToFs7zo,20.0
IzgjAUP2wnM,36.0
t97tJKf3cD4,50.0
eUm-GPkW2k8,0.0
4ZDWHd1pO44,1.0
Z5Z9BIhaJCk,115.0
I5OIyDI6dn4,112.0
aXWjDfvK10w,23.0
YETFI2oCjSs,1.0
Z-E0_hvDZqE,199.0
4JYOfJM9jbw,35.0
ORBWrZSPZjc,11.0
qR99q54E35M,1.0
gAegqeSSod0,2.0
cC0936m1p2U,1.0
tkbpKiAQJHM,2.0
pzvMXEIF21M,23.0
Rp4zo2jl7xA,134.0
jtkf9-zZLVo,43.0
dbK6snX3Rvw,8.0
qIthvja2lMQ,58.0
zUD08Rz-rWQ,431.0
xzi432DLLeg,34.0
dL-7ysLEu0Q,0.0
jWJHqczhkAA,20.0
pdaZ5CfU3kg,18.0
CxhvjYFEgxc,4.0
8q0VPEJdGso,753.0
4iPvFKCYAE8,329.0
z4ojmCOyaKk,0.0
tbY-knYSksM,0.0
nNR5XewcJj4,4.0
5RADIJ0Uvd4,0.0
kPSc0ZfXVn8,6.0
3eH4L2y23Hw,1098.0
lOLvTuHrkGk,68.0
rJZfoPtTIeE,1.0
lnW4V2lNPVk,4.0
IEn9WhwgXkY,0.0
P-l7pEp0sYg,136.0
VlTZW4qVm8w,11.0
4ZlpDRXQMnU,230.0
vg-5U1Rjt1Q,0.0
uhroz0eNTzg,0.0
YWK06VW8fPM,15.0
H2t1Fs7bLE8,10.0
UopTHl5ElAQ,0.0
BfJq7GLjBt8,189.0
7ZQIhC1aMoM,0.0
wbEa5wSY4lE,1.0
SvVh55tMrzw,0.0
v6ElYf3HM-Q,0.0
dq-dQVnNyWw,0.0
7KCaVwCS_Zo,4.0
mWL0xiWlTr0,0.0
ly6eClLEmeg,137.0
X6spGBJgFwU,10.0
lv0GM9bAIyo,0.0
CRsMZGFgAb8,0.0
iHLYKIeBYKI,22.0
AT4tPfSNIE4,0.0
vNWQT7qaxrQ,294.0
8tj5-HZGv4Y,2.0
en-Tt4pXn7M,1.0
HaELKlOA1qs,0.0
Xdz0_R4ESnI,19.0
sus1dY2U5wk,0.0
n42toiEWZY8,0.0
G0DXmV56OI8,101.0
cenqhXiTgNU,0.0
nIGRQnAoqkQ,8.0
voPTBE2Ddh0,18.0
sRIUEd_LZ7o,0.0
_tGpqo5J2mM,0.0
pkH5MkfZzpc,0.0
8s9O3DUwTTY,2.0
aNdqCG0IH6o,43.0
iCpNbaDEHm8,0.0
OvEU6QgY-HA,15.0
8WOdFy1u7sE,16.0
kgLhhlfC4lg,0.0
9ZVXxJK9M1c,0.0
LsHr-bmeCls,3.0
ZWA2LfqH_-g,0.0
5kWwxBq9w8w,11.0
3rT6ADW62_4,2.0
15lSYRkpWmg,38.0
vjiHXMgd6VI,1.0
5WDcUAYFO3o,13.0
aQoB9xhkvQs,7.0
is84z9hcFX0,0.0
hFp0_V9vYrE,24.0
-9Ru4KYkoIo,23.0
96pDzBMYyds,1.0
mHHHVEmp2dw,2.0
Kk60aGev5OY,0.0
4BlL86cHrL4,18.0
QnIpI_43ZJc,14.0
2atBrS-m6CM,0.0
9VDfCwtXqrM,2.0
bf5EYhUSYyc,9.0
r136WPQ6mSY,573.0
KdnqhXVd2pw,0.0
N6wB5Y37Fok,0.0
Lxy4PhV2QM8,0.0
