model,accuracy,precision,recall,f1_score,roc_auc
DecisionTree,0.7436108821104699,0.5930851063829787,0.46011004126547456,0.5182029434546863,0.7388419476462003
GradientBoosting,0.7619538334707338,0.6974900924702774,0.3631361760660248,0.47761194029850745,0.79870522185961
MLP,0.7376339653751031,0.6201859229747676,0.32118294360385147,0.4231989125509742,0.7392550476734838
KNN,0.7207337180544106,0.5561861520998865,0.33700137551581844,0.4197002141327623,0.7078725004513537
RandomForest,0.7555647155812036,0.7518796992481203,0.2751031636863824,0.4028197381671702,0.7988553020508058
LinearSVC,0.7166117065127783,0.5849462365591398,0.18707015130674004,0.28348097967691505,0.7030215605425313
LogisticRegression,0.7131079967023908,0.5752427184466019,0.16299862448418156,0.2540192926045016,0.7121660285644197
