categories,channel_id,dislike_count,display_id,duration,like_count,upload_date,view_count
Gaming,UCfBkzAvx7_fEiJ2rfChydYQ,45.0,4xDwfkoje7Q,2607,564.0,2017-11-04,97671.0
Gaming,UCfBkzAvx7_fEiJ2rfChydYQ,2681.0,tWe6JpGj7mE,2540,11000.0,2017-11-06,6051002.0
Education,UCfBY8CR8hKrHEAtEU5U0vcQ,4.0,lpfZPcVQ-kE,539,19.0,2018-10-09,857.0
Sports,UCfBVy8PAMwyNbac6D0Mk8gQ,0.0,9y4GwvICoEc,127,3.0,2014-10-24,468.0
Sports,UCfBVy8PAMwyNbac6D0Mk8gQ,1.0,P6dfuYHRbvI,171,11.0,2016-04-13,769.0
Music,UCfBRX2mnGknh9pbWYDN44-w,1.0,wzVUMC5fwwg,367,12.0,2018-04-05,764.0
Gaming,UCfBLXTwLoUpDAkHcHizW3Jg,64.0,G1LgGNBtFG8,326,2914.0,2019-08-22,54280.0
Gaming,UCfBLXTwLoUpDAkHcHizW3Jg,19.0,GuabHJfomc0,445,2305.0,2019-01-22,52389.0
Sports,UCfBCdm0Z6lPA77ERk6kOBrA,0.0,x0y7WDWCDro,90,70.0,2018-08-20,1192.0
Sports,UCfBCdm0Z6lPA77ERk6kOBrA,3.0,FFTrhmzwVlU,83,24.0,2018-03-15,1070.0
Howto & Style,UCfB6Fvkc53_7FSDGEUFoJSg,3.0,Zc_ygxyVaOk,484,193.0,2015-03-11,2663.0
Howto & Style,UCfB6Fvkc53_7FSDGEUFoJSg,5.0,QVbQpvmTNvo,571,371.0,2014-09-30,10230.0
Music,UCfB5brcA33-FxZIA16i11tQ,1.0,3UjYAtgOMvY,161,16.0,2019-03-17,249.0
Science & Technology,UCfB5brcA33-FxZIA16i11tQ,2.0,fRQmbNMyHHQ,205,38.0,2016-06-07,2229.0
People & Blogs,UCfB4aObQAVlTi_CG-vWQfkg,1.0,Uudlszh4OJ4,84,257.0,2017-08-31,6630.0
Autos & Vehicles,UCfAmS1T9qjEqOo1E-2hUYiQ,14.0,iQgpx-gnECY,538,1021.0,2016-12-18,23887.0
Gaming,UCfAPTv1LgeEWevG8X_6PUOQ,0.0,U9yG4VPr7-Q,19,6.0,2010-02-28,5822.0
Gaming,UCfAPTv1LgeEWevG8X_6PUOQ,37.0,d5pqzYHUSJE,153,1998.0,2019-09-24,53203.0
Gaming,UCfAPTv1LgeEWevG8X_6PUOQ,5.0,rX-CgimfpxQ,1674,190.0,2019-02-08,7762.0
Gaming,UCfAPTv1LgeEWevG8X_6PUOQ,23.0,P64R4p-L8Iw,4425,342.0,2018-10-04,30430.0
Gaming,UCfAPTv1LgeEWevG8X_6PUOQ,29.0,ibLKHYxsVzY,212,1538.0,2018-04-25,62641.0
Gaming,UCfAPTv1LgeEWevG8X_6PUOQ,213.0,tk5zWBCNu2E,529,9077.0,2014-11-08,1385741.0
Gaming,UCfAPTv1LgeEWevG8X_6PUOQ,8.0,JNf-SvPm1nM,51,100.0,2013-11-22,33072.0
Gaming,UCfAPTv1LgeEWevG8X_6PUOQ,22.0,ZhRqnDet08c,164,713.0,2013-07-15,40283.0
Comedy,UCfAOh2t5DpxVrgS9NQKjC7A,151.0,w7aJ7a7YYJM,130,2905.0,2011-02-21,118008.0
Gaming,UCfAK0IN2RmdFgnXNv_KEEDg,2.0,LL6efgaCQcY,188,157.0,2015-11-20,4720.0
Gaming,UCf9zAmsKZLJu03aS9if9pQA,4.0,LNCxbCSvwU8,6567,45.0,2018-02-20,460.0
Entertainment,UCf9xTqXTItfs5R0JZqlomjA,,SRI1XEg88Ok,647,,2016-10-01,49189.0
Howto & Style,UCf9t5qM56JnpqEa2U-gl1NA,1.0,CQmXLInGd3Q,383,53.0,2013-03-19,2076.0
Howto & Style,UCf9AejotKZ8bBEM8yARWkQA,6.0,xm5nhQinKrA,219,133.0,2019-09-10,3647.0
Science & Technology,UCf98WFQLzORUfCinbycwXXQ,1.0,DdVDiQXd1kc,439,138.0,2018-10-03,4080.0
Entertainment,UCf94-rWzRSdNfb--PQ397Pg,6.0,DNiHj1kMeRc,946,89.0,2018-12-27,2733.0
Howto & Style,UCf93fPKwotph47H3_KDcRyg,0.0,JnI_5tKwyao,453,39.0,2018-11-08,445.0
Howto & Style,UCf93fPKwotph47H3_KDcRyg,4.0,3avfqizA7c0,1429,165.0,2012-06-22,15109.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,41.0,cudj7FPmap0,662,82.0,2018-12-15,22199.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,3.0,He4Nw6fjY2o,151,2.0,2018-12-09,960.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,1.0,mjSG2z1RB0c,203,11.0,2018-09-22,9378.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,0.0,U5t0dfK6N2g,79,23.0,2018-08-11,1832.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,82.0,a9LEhK8YHfA,277,3177.0,2018-08-08,123868.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,21.0,OPqWBaPDSd0,65,4.0,2018-05-28,2508.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,76.0,PZpAS1HGxU4,1395,394.0,2018-05-19,60685.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,2.0,AC83qhoK1QQ,59,8.0,2018-04-15,2996.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,0.0,dLxNOLmRL5Q,79,1.0,2018-04-13,592.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,8.0,S0vzw3f1ZHM,498,280.0,2018-04-02,21185.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,65.0,p9y4756eYUA,3503,121.0,2018-03-04,54081.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,14.0,hp9vOS2rpQA,192,12.0,2018-02-09,2291.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,0.0,mrMNOpXzKI0,151,3.0,2018-01-16,753.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,21.0,FBSf4g3k6tw,104,114.0,2017-12-01,79302.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,0.0,wW26beWuZMk,71,2.0,2017-11-25,298.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,2.0,n9MDI723mmY,82,19.0,2017-11-08,3795.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,59.0,6KY-gwZz7CI,72,1152.0,2017-11-04,185319.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,0.0,FxUZrH6UnZ4,98,3.0,2017-10-29,1000.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,15.0,l5nmKyegSLY,121,41.0,2019-09-16,1713.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,1.0,nne77u3HkuI,168,8.0,2019-09-16,764.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,0.0,qt-P7WF_RqI,105,9.0,2019-09-13,802.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,4.0,ZCf0dMUBAWQ,120,1.0,2019-09-06,961.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,13.0,CjKtMkey4K0,167,102.0,2019-08-23,15692.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,15.0,C2Wrtkjtq4o,377,26.0,2019-06-14,8744.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,0.0,DILDa5KgQLU,72,7.0,2019-06-04,557.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,5.0,dQ_d1LJ01OM,2537,32.0,2019-05-21,9414.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,1.0,RDhAT-nCd_E,106,6.0,2019-05-05,1239.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,3.0,B9pZZeumweE,81,3.0,2019-05-05,1228.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,22.0,cOIEM1zExpQ,64,25.0,2019-01-27,1254.0
News & Politics,UCf8w5m0YsRa8MHQ5bwSGmbw,10.0,3nl1GuV8GHw,84,17.0,2019-01-19,2491.0
Entertainment,UCf8dRSV0f6iHSihsUt_0EPA,5.0,7u6ptzRWuSc,400,7.0,2018-11-15,839.0
Music,UCf8IV2Q7TYwT7Spt9KblZTg,5.0,Tvi59KBY9FQ,482,10.0,2018-07-05,2083.0
Music,UCf8IV2Q7TYwT7Spt9KblZTg,454.0,nm8xr_DaGPM,329,1927.0,2013-11-13,893244.0
Howto & Style,UCf8IQSVoWAwQbyxkT6LEJ1g,16.0,oBjUl6lIkjo,1260,594.0,2019-02-24,13078.0
Gaming,UCf8BuPKoB2xLIlVgqQfZgEw,2.0,u5LPQWmmwbU,628,71.0,2018-02-01,3541.0
Travel & Events,UCf8A5jrYuL-HBpylPpvGKjw,580.0,gI9Wd8SNx1I,437,2636.0,2017-02-20,840725.0
Autos & Vehicles,UCf88EFO_GdwPw7XnVBl_0Iw,0.0,0q9bDfHPEmo,20,6.0,2015-04-30,280.0
Entertainment,UCf7uc9K4agAuPsy1hf-W6ww,457.0,9b6byAsuaMs,359,360.0,2017-11-25,73554.0
Sports,UCf7iHZIcKEhiN34-fETtNCA,1.0,MrggIPwcyNU,21,7.0,2016-09-10,1626.0
Music,UCf7cTJehindZRGLcevqJ48Q,0.0,Dbp48ERC7L4,273,50.0,2015-06-14,1589.0
Entertainment,UCf7SjG3RK65BodWK0hKb6lQ,0.0,w4A8jlIcH0E,294,2.0,2017-09-29,567.0
Film & Animation,UCf7SjG3RK65BodWK0hKb6lQ,5.0,Y7NvsSF7Fj0,200,25.0,2016-09-02,24070.0
Gaming,UCf7P7LZsVOvv8KWs2p1YINw,1.0,fFtNIxGiLjw,1282,6.0,2014-06-21,97.0
Comedy,UCf7J0vxbg6SsIjY9587PEiQ,0.0,qjkh7QrKYvA,51,6.0,2019-09-18,556.0
Comedy,UCf7J0vxbg6SsIjY9587PEiQ,3.0,b-ZfZ1qmgWA,94,22.0,2016-04-13,27572.0
Entertainment,UCf7-6EDzrLkuPsz-9I4KTnw,8.0,fwTLcNmJsrU,406,109.0,2015-01-30,16166.0
Autos & Vehicles,UCf6riPCpPuQiE8kjxLqK3HA,0.0,9WXgEIGmlWM,189,1.0,2012-07-03,442.0
Entertainment,UCf6riPCpPuQiE8kjxLqK3HA,3.0,ayck0vv5c9E,357,77.0,2016-02-24,5250.0
Entertainment,UCf6riPCpPuQiE8kjxLqK3HA,25.0,TypFzeLt10I,787,987.0,2016-02-15,104528.0
Gaming,UCf6J9yokPS0ys456jvjLBGQ,15.0,uQ2EZY1s9v4,610,195.0,2018-05-23,5660.0
Gaming,UCf6J9yokPS0ys456jvjLBGQ,2.0,NBi3gSm9Nwg,194,311.0,2014-04-07,20124.0
Gaming,UCf6J9yokPS0ys456jvjLBGQ,7.0,nqk1s2E6xMQ,99,184.0,2013-07-14,16795.0
Music,UCf69z7VtcSTygbNKdFn4ELg,24.0,hI0SL0R2jCY,2571,1281.0,2013-04-17,143311.0
People & Blogs,UCf6-KxAa1Oz8y3m8usuCAmw,1.0,kmQtzf_U-PA,77,13.0,2019-02-02,1237.0
Gaming,UCf5j-Z0sCJQFDLBWE9QdBHQ,0.0,_leVHj0hZXM,52,3.0,2016-04-03,107.0
Howto & Style,UCf5cKvesy0Ou-25Cr7HwxKA,5.0,YfZmmoCLNOE,666,179.0,2017-10-21,4909.0
Entertainment,UCf5a4_opxvf_36-tP4w2Aaw,18.0,IqkKMfDs-70,669,157.0,2018-01-06,4784.0
News & Politics,UCf58CbplZsDbH9wPMYoOTFw,0.0,o7S0Kxu1b8I,98,1.0,2019-07-20,151.0
News & Politics,UCf58CbplZsDbH9wPMYoOTFw,0.0,O0jRZfvYv18,103,0.0,2019-07-05,216.0
People & Blogs,UCf58CbplZsDbH9wPMYoOTFw,0.0,ksRNlw-Eiko,46,7.0,2019-02-21,598.0
Comedy,UCf56MqBTCu9FNYSgYhLhILA,6.0,o-qucYmyqFE,109,282.0,2016-09-13,20154.0
Entertainment,UCf4u1TkL9Q8TzLCp9R4bvHw,5.0,1PGM5gt460A,3587,145.0,2018-10-25,4023.0
Entertainment,UCf4u1TkL9Q8TzLCp9R4bvHw,23.0,tHGC03EP8mI,395,218.0,2017-09-07,14257.0
People & Blogs,UCf4u1TkL9Q8TzLCp9R4bvHw,1.0,dum6hbuB9R8,513,31.0,2015-10-30,599.0
