model,accuracy,precision,recall,f1_score,roc_auc
RandomForest,0.8037750688163586,0.6590361445783133,0.7169069462647444,0.6867545511613308,0.8634444902587362
LinearSVC,0.7797876523790799,0.6355140186915887,0.6238532110091743,0.6296296296296297,0.8216166963641449
DecisionTree,0.7774282343688557,0.652241112828439,0.5530799475753604,0.5985815602836879,0.7984132710913454
MLP,0.7652379079826976,0.6217008797653959,0.5557011795543906,0.5868512110726644,0.7877461086485928
KNN,0.7459693275658671,0.5924170616113744,0.49148099606815204,0.5372492836676218,0.7274261121828383
